Nombre,Categoria
"Varitas de pescado","PRECOCINADOS"
"Verdura en tempura","PRECOCINADOS"
"Acelgas 15g","VERDURAS"
"Ajo verde troceado","VERDURAS"
"Ajos picados","VERDURAS"
"Alcachofas","VERDURAS"
"Algas de wakame","VERDURAS"
"Berenjena cubo","VERDURAS"
"Boletus edulis","VERDURAS"
"Brocoli","VERDURAS"
"Calabacín en dados","VERDURAS"
"Calabaza en dados","VERDURAS"
"Cebolla cubo","VERDURAS"
"Cebollitas perla","VERDURAS"
"Champiñón laminado","VERDURAS"
"Champiñones enteros","VERDURAS"
"Coles de bruselas","VERDURAS"
"Coliflor","VERDURAS"
"Espárragos troceados","VERDURAS"
"Espárragos verdes gordos","VERDURAS"
"Espinacas porciones","VERDURAS"
"Fondo de alcachofas","VERDURAS"
"Garrafón","VERDURAS"
"Guisantes","VERDURAS"
"Habas gordas","VERDURAS"
"Habas pequeñas","VERDURAS"
"Habas pequeñas","VERDURAS"
"Habas super baby","VERDURAS"
"Judías extra finas enteras","VERDURAS"
"Judías planas","VERDURAS"
"Judías redondas","VERDURAS"
"Maíz dulce","VERDURAS"
"Menestra imperial","VERDURAS"
"Menestra normal","VERDURAS"
"Mezcla china","VERDURAS"
"Mezcla de setas","VERDURAS"
"Pimiento rojo en cubo","VERDURAS"
"Pimiento tricolor tiras","VERDURAS"
"Pimientos verde en cubo","VERDURAS"
"Pisto asado","VERDURAS"
"Pisto ratatouille","VERDURAS"
"Puerro troceado","VERDURAS"
"Setas del bosque","VERDURAS"
"Zanahorias baby","VERDURAS"
"Zanahorias cubo","VERDURAS"
"Zanahorias parisinas","VERDURAS"
"Zanahorias rodaja","VERDURAS"
"Arroz tres delicias","PREPARADOS CON VERDURAS"
"Ensalada china","PREPARADOS CON VERDURAS"
"Ensalada de arroz","PREPARADOS CON VERDURAS"
"Ensaladilla","PREPARADOS CON VERDURAS"
"Ensaladilla alemana","PREPARADOS CON VERDURAS"
"Ensaladilla americana","PREPARADOS CON VERDURAS"
"Ensaladilla con patatas ali-oli","PREPARADOS CON VERDURAS"
"Ensaladilla de cangrejo","PREPARADOS CON VERDURAS"
"Ensaladilla de cangrejo con mango y piña","PREPARADOS CON VERDURAS"
"Ensaladilla de cangrejo sin piña","PREPARADOS CON VERDURAS"
"Ensaladilla de pasta con salsa rosa","PREPARADOS CON VERDURAS"
"Ensaladilla de pollo","PREPARADOS CON VERDURAS"
"Ensaladilla de puerro","PREPARADOS CON VERDURAS"
"Ensaladilla italiana","PREPARADOS CON VERDURAS"
"Ensaladilla rusa","PREPARADOS CON VERDURAS"
"Ensaladilla rusa gourmet","PREPARADOS CON VERDURAS"
"Ensaladilla rusa sin atun","PREPARADOS CON VERDURAS"
"Ensaladilla waldorf","PREPARADOS CON VERDURAS"
"Guarnición de verduras","PREPARADOS CON VERDURAS"
"Parrillada de verduras","PREPARADOS CON VERDURAS"
"Revuelto de gambas, ajetes y trigueros","PREPARADOS CON VERDURAS"
"Revuelto de setas, champiñones y gambas","PREPARADOS CON VERDURAS"
"Salteado campero","PREPARADOS CON VERDURAS"
"Salteado campestre","PREPARADOS CON VERDURAS"
"Salteado clásico","PREPARADOS CON VERDURAS"
"Salteado de granja con pollo","PREPARADOS CON VERDURAS"
"Salteado mediterráneo","PREPARADOS CON VERDURAS"
"Salteado montañés","PREPARADOS CON VERDURAS"
"Salteado thai","PREPARADOS CON VERDURAS"
"Sofrito","PREPARADOS CON VERDURAS"
"Sopa de verduras","PREPARADOS CON VERDURAS"
"Anchoa en aceite","AHUMADOS"
"Arenque ahumado","AHUMADOS"
"Atún ahumado","AHUMADOS"
"Bacalao ahumado","AHUMADOS"
"Boquerón en vinagre","AHUMADOS"
"Huevas de lumpo negras","AHUMADOS"
"Huevas de lumpo rojas","AHUMADOS"
"Mojama extra","AHUMADOS"
"Palometa ahumada","AHUMADOS"
"Salmón ahumado","AHUMADOS"
"Sardinas barriquetes","AHUMADOS"
"Bacon ahumado","EMBUTIDOS"
"Bacon loncheado","EMBUTIDOS"
"Butifarra cruda","EMBUTIDOS"
"Callos","EMBUTIDOS"
"Chistorras","EMBUTIDOS"
"Chopped pork","EMBUTIDOS"
"Chorizo barbacoa","EMBUTIDOS"
"Chorizo criollo","EMBUTIDOS"
"Chorizo extra","EMBUTIDOS"
"Chorizo vela","EMBUTIDOS"
"Fiambre de lomo al horno","EMBUTIDOS"
"Fiambre de magreta cocida","EMBUTIDOS"
"Fiambre de magro","EMBUTIDOS"
"Jamón cocido extra","EMBUTIDOS"
"Jamón curado deshuesado","EMBUTIDOS"
"Lomo adobado","EMBUTIDOS"
"Lomo Sajonia","EMBUTIDOS"
"Mortadela con aceitunas","EMBUTIDOS"
"Mortadela de cebolla","EMBUTIDOS"
"Mortadela siliciana","EMBUTIDOS"
"Paleta de york para sandwich","EMBUTIDOS"
"Paté (consultar sabores)","EMBUTIDOS"
"Pechuga de pavo en barra","EMBUTIDOS"
"Salami extra","EMBUTIDOS"
"Salchichón","EMBUTIDOS"
"Salchichón extra","EMBUTIDOS"
"Aceitunas verdes partidas","ENCURTIDOS"
"Alcaparras","ENCURTIDOS"
"Banderillas picante","ENCURTIDOS"
"Cebollitas en cubo","ENCURTIDOS"
"Pepinillos","ENCURTIDOS"
"Variantes de revuelto","ENCURTIDOS"
"Aceite alto oleico","PRODUCTOS NO PERECEDEROS"
"Aceite girasol","PRODUCTOS NO PERECEDEROS"
"Aceite oliva","PRODUCTOS NO PERECEDEROS"
"Aceite suave","PRODUCTOS NO PERECEDEROS"
"Alcachofa corazones en lata","PRODUCTOS NO PERECEDEROS"
"Alcachofa troceada en lata","PRODUCTOS NO PERECEDEROS"
"Alubia","PRODUCTOS NO PERECEDEROS"
"Arroz redondo","PRODUCTOS NO PERECEDEROS"
"Arroz vaporizado","PRODUCTOS NO PERECEDEROS"
"Atún girasol en lata","PRODUCTOS NO PERECEDEROS"
"Brotes de soja","PRODUCTOS NO PERECEDEROS"
"Caballa en lata","PRODUCTOS NO PERECEDEROS"
"Champiñón laminados en lata","PRODUCTOS NO PERECEDEROS"
"Crema balsámica de módena","PRODUCTOS NO PERECEDEROS"
"Espagueti","PRODUCTOS NO PERECEDEROS"
"Espárrago extra","PRODUCTOS NO PERECEDEROS"
"Espirales de colores","PRODUCTOS NO PERECEDEROS"
"Fideos","PRODUCTOS NO PERECEDEROS"
"Fideuá","PRODUCTOS NO PERECEDEROS"
"Garbanzos cocidos en lata","PRODUCTOS NO PERECEDEROS"
"Garbanzos en manteca","PRODUCTOS NO PERECEDEROS"
"Harina de freír","PRODUCTOS NO PERECEDEROS"
"Lentejas en lata","PRODUCTOS NO PERECEDEROS"
"Lentejas pardinas","PRODUCTOS NO PERECEDEROS"
"Macarrones","PRODUCTOS NO PERECEDEROS"
"Maíz dulce en lata","PRODUCTOS NO PERECEDEROS"
"Melocotón en almíbar","PRODUCTOS NO PERECEDEROS"
"Melva en aceite de girasol","PRODUCTOS NO PERECEDEROS"
"Miel en cubo","PRODUCTOS NO PERECEDEROS"
"Pasta en forma de tiburones/coditos","PRODUCTOS NO PERECEDEROS"
"Peras en almíbar mitades","PRODUCTOS NO PERECEDEROS"
"Pimientos asados","PRODUCTOS NO PERECEDEROS"
"Pimientos piquillo enteros en lata","PRODUCTOS NO PERECEDEROS"
"Pimientos tiras en lata","PRODUCTOS NO PERECEDEROS"
"Piña en almíbar","PRODUCTOS NO PERECEDEROS"
"Remolacha rallada","PRODUCTOS NO PERECEDEROS"
"Remolacha roja rodaja","PRODUCTOS NO PERECEDEROS"
"Sardinas en lata","PRODUCTOS NO PERECEDEROS"
"Tallarines","PRODUCTOS NO PERECEDEROS"
"Tallos de espárrago","PRODUCTOS NO PERECEDEROS"
"Tomate entero sin piel","PRODUCTOS NO PERECEDEROS"
"Tomate frito en lata","PRODUCTOS NO PERECEDEROS"
"Tomate triturado","PRODUCTOS NO PERECEDEROS"
"Tomate troceado","PRODUCTOS NO PERECEDEROS"
"Ventresca de atún en aceite","PRODUCTOS NO PERECEDEROS"
"Vino blanco en brik","PRODUCTOS NO PERECEDEROS"
"Burritos de chili y carne","TEMÁTICOS"
"Canelones de atún","TEMÁTICOS"
"Canelones de carne","TEMÁTICOS"
"Canelones de espinacas","TEMÁTICOS"
"Enchiladas mexicanas","TEMÁTICOS"
"Lasaña de atún","TEMÁTICOS"
"Lasaña de carne","TEMÁTICOS"
"Lasaña vegetal","TEMÁTICOS"
"Mini burritos","TEMÁTICOS"
"Mini rollito primavera","TEMÁTICOS"
"Moussaka","TEMÁTICOS"
"Mozzarella sticks con jalapeño","TEMÁTICOS"
"Nachos mexicanos","TEMÁTICOS"
"Nuggets de cheddar con jalapeño","TEMÁTICOS"
"Nuggets de chili y cheddar","TEMÁTICOS"
"Palitos de mozzarella","TEMÁTICOS"
"Quesadilla de jamón","TEMÁTICOS"
"Ravioli de boletus","TEMÁTICOS"
"Ravioli de ricota y espinacas","TEMÁTICOS"
"Rollitos de primavera","TEMÁTICOS"
"Tacos de pollo","TEMÁTICOS"
"Tortellini cuatro quesos","TEMÁTICOS"
"Tortellini de carne","TEMÁTICOS"
"Tortellini de ricotta y espinaca","TEMÁTICOS"
"Tortellini de york y queso","TEMÁTICOS"
"Baguetes especiales (consultar tipos)","PREPARADOS Y PIZZAS"
"Base para pizza","PREPARADOS Y PIZZAS"
"Base para pizza con tomate","PREPARADOS Y PIZZAS"
"Bocapizzas","PREPARADOS Y PIZZAS"
"Paninis de jamón york","PREPARADOS Y PIZZAS"
"Pizza margarita cuadrada para catering","PREPARADOS Y PIZZAS"
"Pizzas cuadradas","PREPARADOS Y PIZZAS"
"Pizzas redondas","PREPARADOS Y PIZZAS"
"Sushi variado","PREPARADOS Y PIZZAS"
"Nata culinaria brik","NATA"
"Nata en spray","NATA"
"Base de pizza sin gluten","SIN GLUTEN"
"Canelones sin gluten","SIN GLUTEN"
"Churros sin gluten","SIN GLUTEN"
"Empanadillas sin gluten","SIN GLUTEN"
"Lasaña de carne sin gluten","SIN GLUTEN"
"Nuggets de pollo sin gluten","SIN GLUTEN"
"Pizzas sin gluten","SIN GLUTEN"
"Clara de huevo brik","HUEVOS"
"Huevo líquido","HUEVOS"
"Huevos cocidos pelados","HUEVOS"
"Huevos morenos tamaño M","HUEVOS"
"Queso en barra gourmet","QUESOS"
"Queso feta","QUESOS"
"Queso fresco burgos","QUESOS"
"Queso mes curado","QUESOS"
"Queso mozzarella","QUESOS"
"Queso rodez","QUESOS"
"Queso semicurado","QUESOS"
"Rulo de cabra riblaire","QUESOS"
"Aceite de oliva en sobres","MONODOSIS"
"Kétchup en sobres","MONODOSIS"
"Mayonesa en sobres","MONODOSIS"
"Miel en porciones","MONODOSIS"
"Paté iberitos","MONODOSIS"
"Salsa ali-oli en sobres","MONODOSIS"
"Salsa barbacoa en sobres","MONODOSIS"
"Solecitos","MONODOSIS"
"Vinagre en sobres","MONODOSIS"
"Guacamole","SALSAS"
"Kétchup","SALSAS"
"Kétchup bidón con dosificador","SALSAS"
"Mayonesa","SALSAS"
"Mayonesa bidón con dosificador","SALSAS"
"Mayonesa campera","SALSAS"
"Mayonesa ligera","SALSAS"
"Mostaza","SALSAS"
"Mostaza bidón con dosificador","SALSAS"
"Salsa ali-oli","SALSAS"
"Salsa barbacoa","SALSAS"
"Salsa barbacoa bidón con dosificador","SALSAS"
"Salsa brava","SALSAS"
"Salsa brava","SALSAS"
"Salsa césar","SALSAS"
"Salsa cheddar","SALSAS"
"Salsa cocktail","SALSAS"
"Salsa de yogurt","SALSAS"
"Salsa kebab","SALSAS"
"Salsa ranchera","SALSAS"
"Salsa soja","SALSAS"
"Salsa taco","SALSAS"
"Salsa tártara","SALSAS"
"Vinagre balsámico de módena","SALSAS"
"Vinagreta","SALSAS"
"Bocadito de patata","PATATAS"
"Gnocchi de patata","PATATAS"
"Gratinado de patatas","PATATAS"
"Patata duquesa","PATATAS"
"Patatas bravas","PATATAS"
"Patatas caseras","PATATAS"
"Patatas dado","PATATAS"
"Patatas dippers","PATATAS"
"Patatas dólar","PATATAS"
"Patatas extra finas","PATATAS"
"Patatas gajo con piel","PATATAS"
"Patatas gajo sazonada","PATATAS"
"Patatas julienne","PATATAS"
"Patatas mammy","PATATAS"
"Patatas parisinas","PATATAS"
"Patatas rellenas","PATATAS"
"Patatas rosti","PATATAS"
"Patatas sonrisa","PATATAS"
"Patatas surecrisp","PATATAS"
"Bechamel","PREPARADOS POSTRES"
"Cheesecake","PREPARADOS POSTRES"
"Crema pastelera","PREPARADOS POSTRES"
"Cremoso (consultar sabores)","PREPARADOS POSTRES"
"Cuajada","PREPARADOS POSTRES"
"Flan (consultar sabores)","PREPARADOS POSTRES"
"Gelatina","PREPARADOS POSTRES"
"Gelatina diet","PREPARADOS POSTRES"
"Mousse ","PREPARADOS POSTRES"
"Natillas","PREPARADOS POSTRES"
"Panna cotta de nata","PREPARADOS POSTRES"
"Semifrio","PREPARADOS POSTRES"
"Sirope (consultar sabores)","PREPARADOS POSTRES"
"Tocino de cielo","PREPARADOS POSTRES"
"Yogupur","PREPARADOS POSTRES"
"Bolos portugueses","REPOSTERÍA"
"Brazo de gitano","REPOSTERÍA"
"Brigadeiros de chocolate","REPOSTERÍA"
"Churros lazo","REPOSTERÍA"
"Gofres belgas","REPOSTERÍA"
"Grande delicia (consultar sabores)","REPOSTERÍA"
"Leche frita","REPOSTERÍA"
"Masa de hojaldre","REPOSTERÍA"
"Mini crepes rellenos de cacao","REPOSTERÍA"
"Mini crepes rellenos de manzana","REPOSTERÍA"
"Muerte por chocolate","REPOSTERÍA"
"Pastel de nata","REPOSTERÍA"
"Profiteroles de nata","REPOSTERÍA"
"Profiteroles de trufa","REPOSTERÍA"
"Tartas cuadradas 32/64 raciones","REPOSTERÍA"
"Tartas redondas 10/12 raciones","REPOSTERÍA"
"Yogur en cubo","REPOSTERÍA"
"Arándanos rojos","FRUTAS"
"Cerezas","FRUTAS"
"Dados de aguacate","FRUTAS"
"Dados de mango","FRUTAS"
"Frambuesas","FRUTAS"
"Fresas","FRUTAS"
"Frutos del bosque","FRUTAS"
"Grosellas","FRUTAS"
"Mango en cubo","FRUTAS"
"Moras","FRUTAS"
"Papayas en cubo","FRUTAS"
"Piña en cubo","FRUTAS"
